,index,comment,label
0,0,mới mua máy này tại thegioididong thốt nốt cảm thấy ok bin trâu chụp ảnh đẹp loa nghe to bắt wf khỏe sóng ổn định giá thành vừa với túi tiền nhân viên tư vấn nhiệt tình,"tensor([ 0.,  0., -1.,  0.,  0., -1.,  0., -1.,  0., -1.])"
1,1,pin kém còn lại miễn chê mua 832019 tình trạng pin còn 88 có ai giống tôi không,"tensor([ 1., -1., -1., -1.,  0., -1., -1., -1., -1., -1.])"
2,2,sao lúc gọi điện thoại màn hình bị chấm nhỏ nháy gần camera trước vậylúc có lúc không,"tensor([-1., -1., -1.,  1., -1., -1., -1., -1., -1., -1.])"
3,3,mọi người cập nhật phần mềm lại  nó sẽ bớt tốn pin mình đã thử rồi mọi thứ cũng ok nhưng vân tay không nhạy,"tensor([ 2., -1., -1.,  1.,  2., -1., -1., -1., -1., -1.])"
4,4,mới mua xài được 1 tháng thấy pin rất trâu xài bao mượt  nhưng có 1 lỗi nhỏ là mình nghe nhạc bằng tai nghe nghe hơi lâu không biết sao nó không nghe được nữa mất rút tai nghe ra cắm vào lại thì nó mới nghe được,"tensor([ 0., -1., -1., -1., -1.,  0., -1., -1.,  1., -1.])"
5,5,xài tốt rất mượt pin trâu nếu các bạn để độ sáng vừa đủ nhân viên nhiệt tình vui vẻ nói chung là tầm giá này thì máy này là quá tốt rồi,"tensor([ 2., -1., -1., -1.,  0.,  0.,  2., -1.,  0., -1.])"
6,6,mình mới xài được 7 tháng xuống 7 pin chả hiểu máy mới kiểu gì nữa dùng cơ bản lướt web cơ bản game không chơi,"tensor([ 1., -1., -1., -1., -1., -1., -1., -1., -1., -1.])"
7,7,hôm qua ngày 2362020 emra thế giới di động  mua chiếc dthoai galaxy a51  lúc đầu bên cửa hàng báo giá 779000đ  được tặng phiếu mua hàng 250k lúc thanh toán thì nhân viên lại thanh toán 7990000đ không có phiếu mua hàng  đi 20km xuống mua thoai tối về đến nhà  nhân viên mới gọi đến có xin lỗi vì sai xót và bảo mình xuống đó nhận phiếu mua hàng 250k chán quá đúng là làm mất thời gian ,"tensor([-1., -1., -1., -1., -1., -1., -1., -1.,  1., -1.])"
8,8,tại sao điện thoại mới mà sạc nó nóng máy lên quá trời  t đã tắt tất cả mạng ứng dung game và cấm không cho chạy nền cũng không vừa sạc vừa dùng mà điện thoại nóng quá trời sạc 3 tiếng mới đầy,"tensor([ 1., -1., -1., -1., -1., -1., -1., -1., -1., -1.])"
9,9,lúc đầu định mua samsung vào  cửa hàng  nhân viên tư vấn oppo a9 thất vọng thực sự khi dùng oppo màn hình hiển thị tối om máy chơi game giật lang khó chịu vl sạc thì lâu không bao giờ dungg oppo nữa,"tensor([ 1., -1., -1., -1., -1.,  1., -1.,  1.,  1., -1.])"
10,10,mọi thứ đều ngon trong tầm giá lần đầu xài xiaomi cảm thấy rất hài lòng về chất lượng,"tensor([-1., -1., -1., -1.,  0., -1.,  2., -1.,  0., -1.])"
11,11,khá ổn trong tầm giá cam đẹp sạc nhanh màn hình đẹp âm thanh hay rất phù hợp với người thích chơi game tuy nhiên màn hình hơi tối so với ngoài trời,"tensor([ 0.,  0., -1.,  0.,  0., -1.,  2.,  2., -1., -1.])"
12,12,"đi thoại mượt chơi game ngon 
âm báo thức bật maxloa luôn nghe vẫn nhỏ
nhân viên phục vụ nhiệt tình","tensor([-1., -1., -1.,  1., -1.,  0., -1., -1.,  0., -1.])"
13,13,máy rất tốt trong tầm giá pin trâu màn hình đẹp to camera đẹp chơi các tựa game ở cấu hình vừa phải thì ổn chỉ có đều là cảm biến vân tay quang học trong màn hình hơi chậm không có hỗ trợ chụp đêm nên chụp trong đêm hơi xấu còn nv phục vụ nhiệt tình và chu đáo,"tensor([ 0.,  2., -1.,  1.,  0.,  0.,  2.,  0.,  0., -1.])"
14,14,mình mua  được  1 tuần máy đang phát trực tiếp tự nhiên tắt nguồn bắt sống wifi quá yêu hối hận,"tensor([-1., -1., -1.,  1.,  1.,  1., -1., -1., -1., -1.])"
15,15,sản phẩm quá tuyệt vời iphone 7plus camera đẹp chơi game thì không sợ 1 game nào nặng cả rất mượt nhưng game nào có đồ họa cao chơi sẽ bị sụt pin rất nhanh máy nóng nhưng không sao iphone 7 plus tuyệt vời lắm rồi,"tensor([ 1.,  0., -1., -1.,  0.,  2., -1., -1., -1., -1.])"
16,16,dùng ok mượt không nóng đt có 5 6 triệu mà mở max cấu hình ròi kêu nóng nhân viên nhiệt tình,"tensor([-1., -1., -1., -1.,  0.,  0., -1., -1.,  0., -1.])"
17,17,mới mua được 1 ngày ck dùng j6 còn mình dùng con này wifi ck mình lúc nào cũng 3 vạch mà điện thoại này thì lúc 2 vạch  lúc 1 vạch lúc đứng luôn không hieur vì sao nữa dùng thấy bực mình,"tensor([-1., -1., -1.,  1., -1., -1., -1., -1., -1., -1.])"
18,18,dùng thì cứ đơ máy bấm mãi mới khởi động lại song nóng ran lên chán không buồn nói kêu bảo hành phần mềm chọn đời mà dùng chưa  được  đã hỏng,"tensor([-1., -1., -1., -1., -1.,  1., -1., -1., -1., -1.])"
19,19,lỗi phầm mềm  sạc pin không vào  đem ra bảo trì thì cài lại máy _ vẫn không hết lỗi  mua quả máy 4tr100k ram 3gb về để chơi pubg lag vãi chưởng,"tensor([ 1., -1., -1., -1., -1.,  1.,  2., -1., -1., -1.])"
20,20,máy dùng tốt với tầm giá khá nhanh nhạy pin trâu lần đâu tiên mua máy chưa tới 2tr mà ưng ghê luôn á mọi người nên mua,"tensor([ 0., -1., -1., -1.,  0.,  0.,  2., -1., -1., -1.])"
21,21,sạc pin 100 rồi để không 10h mà không hao  nào mà s mọi người cứ kêu hao pin nhanh là s nhỉ mình thasy pin rất trâu lun,"tensor([ 0., -1., -1., -1., -1., -1., -1., -1., -1., -1.])"
22,22,cho mình hỏi tắt quảng cáo trên điện thoại ạ  mới mua về vài hôm mà nó cứ tụ phát quảng cáo hoài ngày khi mình đã khoá màn hình cũng chạy quảng cáo  mong được phản hồi,"tensor([-1., -1., -1., -1., -1.,  1., -1., -1., -1., -1.])"
23,23,"tất cả mọi thứ đều ổn hết màn hình đẹp máy chạy êm pin sạc nhanh màu mặt lưng đẹp 
nhưng chỉ tiết ở phần thiết kế phải chi loa ngoài được đặt ở bên hông thay vì đặt ở cạnh dưới như vầy tay cứ bị đè lên loa khi sử dụng í cứ lo chính bản thân đè nhiều quá sẽ làm loa hư 
thêm 1 cái nhỏ xíu xiu  mới mua hôm qua được giảm 500000đ nay lên xem tuột xuống đươc giảm hẳn 1000000đ tức ghê ","tensor([ 0., -1.,  2., -1.,  0.,  0.,  1.,  0., -1., -1.])"
24,24,điện thoại thiết kế sang trọng cameraa chụp ảnh rất tốt pin dùng ổn định máy dùng mượt không bị đơ,"tensor([ 0.,  0.,  0., -1., -1.,  0., -1., -1., -1., -1.])"
25,25,máy màn hình lớn  nhận diện khuôn mặt nhanh  trong  được  trời sáng  cấu hình tạm ổn cho các tác vụ cơ bản  pin trâu nv tgdd nhiệt tình  còn ctkm tặng tai nghe thì tgdd chưa làm tốt  ra mua máy thì chi nhánh tai nghe khg có hàng  phải đợi 1015 ngày  tgdd rút kinh nghiệm về các ctkm kiểu như vậy ,"tensor([ 0., -1., -1.,  0., -1.,  2., -1.,  0.,  2., -1.])"
26,26,pin trâu  giá rẻ cấu hình ngon  mượt mà  máy chơi game rất tốt  nhân viên tư vấn nhiệt tình,"tensor([ 0., -1., -1., -1., -1.,  0.,  0., -1.,  0., -1.])"
27,27,không nên mua không tương xứng trong cùng phân khúc chụp ảnh kém mờ được mỗi pin trâu ,"tensor([ 0.,  1., -1., -1.,  1., -1.,  2., -1., -1., -1.])"
28,28,cập nhật lại ổn nhưng camera xấu xấu tệ hy vọng cập nhật lại camera tốt hơn cho bản sau,"tensor([-1.,  1., -1., -1., -1.,  0., -1., -1., -1., -1.])"
29,29,"mới dùng  được  tầm nửa tháng thấy khá là ok mượt
chơi game mức độ mặc định cũng ok pin  được  lâu sạc nhanh","tensor([ 0., -1., -1., -1.,  0.,  0., -1., -1., -1., -1.])"
30,30,"mình mua máy samsung a20s được 4 ngày rồi nói chung máy xài ổn trong tầm giá pin trâu nếu không chơi game thì xài được 2 đến 3 ngày còn chơi game như liên quân thì tầm 1 ngày chụp hình đẹp máy rất mượt
chỉ có lâu lâu cảm biến vân tay không được nhạy ngón tay hơi ướt xíu là máy không nhận được vân tay luôn không có ốp lưng nên xài hơi bị xót xíu  mình làm trong môi trường chăn nuôi bụi cám này kia nhiều ","tensor([ 0.,  0., -1.,  1.,  0.,  0.,  2., -1.,  1., -1.])"
31,31,tại sao thì thoảng tôi mở máy thì phải đợi 510s thì màn hình mới lên nó làm tôi thấy khó chịu còn lại thì ok,"tensor([-1., -1., -1., -1.,  0.,  1., -1., -1., -1., -1.])"
32,32,iphone luôn ổn định thiết kế không có gì mới nhưng vẫn chưa lỗi thời mình chưa được cầm con iphone nào nhưng mình nghĩ pin của nó đủ xài trong ngày bạn nào bảo pin nó yếu là do một ngày xài quá nhiều thôi thích iphone từ lâu mỗi tội tài chính eo hẹp đang tich góp để cuối năm rước một emzìa quê luôn,"tensor([ 2., -1.,  2., -1.,  0., -1., -1., -1.,  0., -1.])"
33,33,đã mua và đag dùng rất thất vọng camera mờ hay nổi quảng cáopin xuống rraats nhanh khuyên mọi người đừng mua,"tensor([ 1.,  1., -1., -1.,  1.,  1., -1., -1., -1., -1.])"
34,34,lỗi lưu ảnh và viền 4 góc sáng  khá là bực mong xiaomi việt nam sớm có cách khắc phục,"tensor([-1., -1., -1.,  1., -1., -1., -1.,  1.,  2., -1.])"
35,35,tôi nghĩ rằng nó được 4 star với 12tr tầm giá rẻ rách nếu như đường truyền không chập chờn thì nó sẽ được tôi đánh giá 5 star,"tensor([-1., -1., -1.,  1., -1., -1.,  0., -1., -1., -1.])"
36,36,máy dùng ok chỉ cài khóa mk vân tay khuôn mặt rồi mà khi mở lại không cần vuốt là mở  được  còn lại ổn bluetooth bình thường pin lâu nhạc hay,"tensor([ 0., -1., -1.,  2.,  0., -1., -1., -1., -1., -1.])"
37,37,tgdd tôi không còn tin tưởng nữa rồi một hệ thống bán lẻ điện thoại lớn nhất vn tôi mới mua tại cửa hàng số 473 đường kính dương vương làm tôi quá thất vọng cảm giấc như mình bị lừa thất vọng vô cùng luôn chắc phải chuyển qua hệ thống khác thôi,"tensor([-1., -1., -1., -1., -1., -1., -1., -1.,  1., -1.])"
38,38,máy chs game khá mượtpin trâu mọi vấn đề đều ok sản phẩm trong tầm giá này là quá tuyệt vời ,"tensor([ 0., -1., -1., -1.,  0.,  0.,  2., -1., -1., -1.])"
39,39,điện thoại đẹp màn hình rõ nghe gọi ok chụp hình cũng đẹp giá tầm này thì quá ok rồi nhân viên tgdd thoại sơn an giang thì cực kỳ dễ thương luôn ,"tensor([-1.,  0.,  0.,  0., -1., -1.,  0.,  0.,  0., -1.])"
40,40,xài ok máy mượt chụp ảnh đẹp sạc nhanh mà sao nhiều bạn chê tào lao quá pin 4k mà xài 1 ngày vầy là tốt rồi,"tensor([ 0.,  0., -1., -1.,  0.,  0., -1., -1., -1., -1.])"
41,41,với s20 ultra mức giá này bằng với oppo find x2 thì nên mua find x2 vì oppo hơn hẳn con ultra về cấu hình màn hình pin và tốc độ sạc ultra chỉ hơn được về chụp ảnh thôi còn oppo find x2 max mượt max phê,"tensor([ 1.,  0., -1., -1., -1.,  1., -1.,  1.,  1., -1.])"
